No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
114,Guide,SACAD,Comment puis-je m'inscrire dans l'une des filières ?,"L'inscription se fait en ligne. Le lien se trouve sur le site de la HEIA-FR.
Formulaire en ligne ici: https://www.heia-fr.ch/fr/formation/admission/",Wie kann ich mich für einen Studiengang einschreiben?,"Die Einschreibung erfolgt online auf der Webseite der HTA-FR. 
Online-Formular: https://www.heia-fr.ch/de/ausbildung/zulassung/",HEIA,Formation
115,Guide,SACAD,Quelles sont les conditions d'admission ?,Vous trouvez les conditions d'admission à l'adresse suivante : https://www.heia-fr.ch/fr/formation/admission/,Welches sind die Zulassungsbedingungen?,Alle Infos zur Zulassung unter https://www.heia-fr.ch/de/ausbildung/zulassung/ ,HEIA,Formation
116,Guide,SACAD,Quelles sont les pièces obligatoires pour constituer mon dossier d'inscription ?,"- Copie des diplômes (si déjà obtenus ; dans le cas contraire, ceux-ci pourront être transmis dès leur obtention)
- Lettre de motivation
- Copie de la carte d'identité ou passeport
 - Copie de la carte AVS ou carte d'assuré·e
- Copie des bulletins de note
- CV
- Preuve de paiement à l'inscription 
- etc.

La liste exhaustive est mentionnée dans le formulaire en ligne.
",Welche obligatorischen Unterlagen und Dokumente muss ich meiner Einschreibung beilegen?,"- Kopie Diplome (falls bereits erhalten; andernfalls können diese unmittelbar nach Erhalt übermittelt werden)
- Bewerbungsschreiben
- Kopie ID oder Pass
- Kopie AHV-Karte oder Versicherungsausweis
- Kopie Notenblätter
- Lebenslauf
- Quittung/Bestätigung bezahlte Einschreibegebühren
- usw.
                                                                                                                                                                                                                                                                Mehr dazu auf dem Online-Formular.F130",HEIA,Formation
117,Guide,SACAD,Quelles sont les autorisations nécessaires en matière de permis de séjour pour commencer mes études à la HEIA-FR ? ,"Pour pouvoir commencer les études à la HEIA-FR, il est impératif d’être au bénéfice d’une autorisation de séjour valable lors de la rentrée académique. L’obtention d’un visa peut prendre plusieurs mois. Il est donc nécessaire de commencer les démarches assez tôt. Tous les renseignements concernant les conditions de séjour en Suisse sont disponibles auprès des autorités compétentes en matière de migration. 

Pour le canton de Fribourg : 
Service de la population et des migrants (SPoMi) 
Route d'Englisberg 11 
1763 Granges-Paccot 
+41 26 305 14 92 
http://www.fr.ch/spomi/fr/pub/index.cfm",Welche Unterlagen brauche ich für eine Aufenthaltsbewilligung für das Studium in Freiburg?,"Für das Studium an der HTA-FR muss man im Besitz einer gültigen Aufenthaltsbewilligung sein. Für den Erhalt eines Visums muss mit mehreren Wochen gerechnet werden. Eine frühzeitige Planung ist empfohlen. Mehr Infos dazu beim Amt für Bevölkerung und Migration (BMA): 

Kanton Freiburg:
Amt für Bevölkerung und Migration BMA
Rte d'Englisberg 11
1763 Granges-Paccot
T +41 26 305 14 92
https://www.fr.ch/de/sjd/bma",HEIA,Formation
118,Guide,Egalité des chances,Puis-je bénéficier de mesures particulières si je suis en situation de handicap ?,"En cas de situation de handicap attestée médicalement et nécessitant des mesures organisationnelles particulières, il est possible de déposer (avant le début d'un semestre) une demande d’octroi de mesures de compensations. Cette demande doit être adressée par écrit au répondant égalité des chances de la HEIA-FR. Elle doit contenir le formulaire de demande d’octroi de mesures de compensation et un certificat médical récent (moins de 2 ans) proposant des mesures compensatoires. Celles-ci seront analysées par la direction et la filière concernée. Une décision officielle sera communiquée.

Arganthaël Castella, Répondant égalité des chances HEIA-FR
+41 26 429 65 22
Egalité des chances dans les études
",Können Studierende mit einer Beeinträchtigung besondere Massnahmen beanspruchen?,"Im Falle einer medizinisch bestätigten Beeinträchtigung, welche besondere organisatorische Massnahmen erfordert, kann vor Semesterbeginn bei der Kontaktperson für Chancengleichheit der HTA-FR ein schriftlicher Antrag auf Gewährung von Nachteilsausgleichsmassnahmen eingereicht werden. Dem Antragsformular ist ein ärztliches Zeugnis (nicht älter als zwei Jahre) mit Massnahmenvorschlägen beizulegen. Der Antrag wird von der Direktion und dem betreffenden Studiengang geprüft und die antragstellende Person wird über den Entscheid informiert.

Arganthaël Castella, Kontaktperson für Chancengleichheit HTA-FR 
+41 26 429 65 22 

arganthael.castella@hefr.ch
https://www.heia-fr.ch/de/hochschule/portrat/chancengleichheit/",HEIA,Formation
119,Guide,SACAD,Existe-t-il un âge maximum pour s'inscrire à la HEIA-FR ?,Il n'y a aucune limite d'âge pour entreprendre une formation à la HEIA-FR.,"Gibt es ein Höchstalter, um sich an der HTA-FR einschreiben zu können?","Nein, es gibt keine Altersgrenze, alle sind herzlich willkommen!",HEIA,Formation
120,Guide,SACAD,Dois-je acheter du matériel spécifique pour débuter la formation ?,Chaque étudiant·e doit posséder son propre ordinateur portable ainsi que le matériel de cours.,Muss ich spezielles Material für meinen Studienanfang kaufen?,Alle Studierenden müssen über einen persönlichen Laptop sowie die erforderlichen Kursunterlagen verfügen.,HEIA,Formation
122,Guide,SACAD,Quel est le délai d'inscription ?,"Pour connaître les délais d'inscription, veuillez consulter le site internet de la HEIA-FR : 
https://www.heia-fr.ch/fr/formation/bachelor/ puis cliquer sur la filière de votre choix.",Welche Einschreibefrist gilt?,Hier geht’s zu den Einschreibefristen: https://www.heia-fr.ch/de/ausbildung/bachelor/  und dann auf den Studiengang Ihrer Wahl klicken.,HEIA,Formation
123,Guide,SACAD,"Je suis inscrit·e à la HEIA-FR et souhaite me désister avant le début des études, comment procéder ?",Veuillez en informer le service académique par e-mail : service.academique@hefr.ch,"Ich bin an der HTA-FR eingeschrieben, möchte mich jedoch wieder abmelden. Wie kann ich vorgehen?",Informieren Sie bitte das Studiensekretariat per E-Mail: studiensekretariat@hefr.ch,HEIA,Formation
124,Guide,SACAD,Où ont lieu les cours ETC ?,"L’enseignement est majoritairement dispensé sur le site de Beauregard. Certains cours ont lieu sur le site de Pérolles. Le cas échéant, les étudiant·e·s concerné·e·s sont informé·e·s à la rentrée.
Voir la vidéo suivante : 
https://go.heia-fr.ch/is-2",Wo finden die Kurse der BTS statt?,"Die Kurse finden grösstenteils auf dem Standort Beauregard statt. Einzelne Kurse werden auch auf dem Standort Perolles gegeben. Die Studierenden werden rechtzeitig informiert, wo die Kurse stattfinden.  
Video zu den verschiedenen Standorten: https://go.hta-fr.ch/is-2 ",HEIA,Formation
125,Guide,SACAD,Quelles perspectives s'offrent à moi avec le diplôme de technicien·ne ES en conduite de travaux ?,"Les technicien·ne·s en conduite de travaux sont employé·e·s par des entreprises du bâtiment et/ou du génie civil. Ils ou elles travaillent aussi dans des bureaux d'architecture, dans des bureaux d'études techniques ou dans l'administration publique. Ils ou elles assument des fonctions de responsables et encadrent les équipes de production et de projets dans les domaines du bâtiment ou du génie civil.
https://www.orientation.ch/dyn/show/3466",Welche beruflichen Aussichten habe ich mit dem Diplom als Techniker/in in Bauführung?,"Techniker und Technikerinnen in Bauführung arbeiten für Hoch- und Tiefbauunternehmen, Architektur- und Ingenieurbüros und in der öffentlichen Verwaltung. Sie sind verantwortlich für die Durchführung der Projekte auf den Baustellen und planen und koordinieren die Arbeiten aller Akteure vor Ort.

Mehr zur Ausbildung an Höheren Fachschulen: https://www.berufsberatung.ch/dyn/show/3466?lang=de",HEIA,Formation
126,Guide,SACAD,Combien de temps durent les études à l'ETC ?,La durée est de 3 ans. La 1ère année et la 3ème année se déroulent à l'école. La 2ème année est une année de stage.,Wie lange dauert die Ausbildung an der BTS?,"Drei Jahre insgesamt: Im 1. und 3. Jahr finden die Kurse an der BTS statt; 
das 2. Jahr besteht aus einem Praktikum in einem Bauunternehmen.",HEIA,Formation
127,Guide,SACAD,En quoi consiste un Master HES-SO ?,Toutes les informations se trouvent sous : go.heia-fr.ch/master,Was ist ein Master HES-SO?,Alle Infos zum Master auf https://www.heia-fr.ch/de/ausbildung/master/,HEIA,Formation
128,Guide,SACAD,Quels sont les Masters qui me sont proposés à la HEIA-FR ?,"Toutes les informations se trouvent sous : go.heia-fr.ch/master
",Welche Masterstudien werden an der HTA-FR angeboten?,"Alle Infos zum Master auf https://www.heia-fr.ch/de/ausbildung/master/
",HEIA,Formation
129,Guide,SACAD,Le Bachelor me donne-t-il accès à des études de niveau Master universitaire académique ?,Pas forcément : l’admission nécessite en général un complément qui dépend des universités et des domaines.,Kann ich mit einem FH-Bachelor (HES-SO) ein Masterstudium an einer Universität machen?,Nicht unbedingt. Die Zulassung zum universitären Master verlangt im Allgemeinen je nach Universität und Studienrichtung noch zusätzliche Arbeiten und Nachweise.,HEIA,Formation
130,Guide,SACAD,Qui puis-je contacter pour des questions sur les formations continues ?,"formation.continue-heia@hefr.ch
https://www.heia-fr.ch/fr/formation-continue/",An wen kann ich mich bei Fragen bezüglich Weiterbildung wenden?,"weiterbildung-hta@hefr.ch
https://www.heia-fr.ch/de/weiterbildung/",HEIA,Formation
131,Guide,SACAD,Quelles sont les différentes formations continues qui me sont propposées?,"Les différents formations continues proposés sont indiqués sur le site Internet de la HEIA-FR : cliquez ici
https://www.heia-fr.ch/fr/formation-continue/
","Welche Weiterbildungen werden angeboten?
","Die verschiedenen Weiterbildungen der HTA-FR, auch in Zusammenarbeit mit anderen Institutionen finden Sie hier  https://www.heia-fr.ch/de/weiterbildung/ ",HEIA,Formation
132,Guide,SACAD,Où puis-je trouver le calendrier académique pour l'année en cours ?,"Le calendrier se trouve sur le site de la HEIA-FR  :
https://www.heia-fr.ch/fr/formation/calendrier-academique",Wo finde ich den akademischen Kalender des laufenden Studienjahres?,"Der akademische Kalender ist auf der Website der HTA-FR verfügbar:
https://www.heia-fr.ch/de/ausbildung/akademischer-kalender/
",HEIA,Formation
133,Guide,SACAD,Quand a lieu la rentrée académique ?,"La rentrée académique a lieu en septembre. La date exacte se trouve sur le calendrier académique :
https://www.heia-fr.ch/fr/formation/calendrier-academique",Wann beginnt das Studienjahr?,"Das Studienjahr beginnt jeweils im September; das genaue Datum ist im akademischen Kalender angegeben:
https://www.heia-fr.ch/de/ausbildung/akademischer-kalender/",HEIA,Formation
134,Guide,SACAD,Où puis-je trouver le calendrier des périodes sans enseignement ni évaluation ?,"Le calendrier académique se trouve sur le site Internet de la HEIA-FR :
https://www.heia-fr.ch/fr/formation/calendrier-academique",Wo finde ich den Kalender mit den unterrichts- und prüfungsfreien Zeiten?,"Im akademischen Kalender auf der Website der HTA-FR:
https://www.heia-fr.ch/de/ausbildung/akademischer-kalender/
",HEIA,Formation
135,Guide,SACAD,Comment puis-je obtenir une attestation semestrielle ?,"Au début de chaque semestre, les étudiant·e·s peuvent télécharger une attestation semestrielle sur le portail IS-Academia https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm (SWITCH Edu-ID). Aucune attestation ne pourra être délivrée en avance. Le service académique informe les étudiant·e·s par e-mail quand les attestations sont disponibles.",Wie kann ich eine Semesterbestätigung erhalten?,"Über das Portal IS-Academia https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm (SWITCH Edu-ID) kann eine Semesterbestätigung heruntergeladen werden. Bestätigungen können nicht vor Semesterbeginn ausgestellt werden. Die Studierenden werden vom Studiensekretariat per E-Mail informiert, sobald die Bestätigung zur Verfügung steht.",HEIA,Formation
136,Guide,SACAD,A quoi me sert une attestation semestrielle ?,"Ce document est destiné aux offices de bourses, d’allocations familiales, etc. pour certifier que vous êtes bien étudiant·e à la HEIA-FR.",Wozu brauche ich eine Semesterbestätigung?,"Dieses Dokument ist für den Erhalt von Familienzulagen, für Stipendienanträge usw. einzureichen. Es bestätigt, dass Sie an der HTA-FR eingeschrieben sind.",HEIA,Formation
137,Guide,SACAD,Puis-je obtenir un duplicata de bulletins de notes ?,Les duplicata de bulletins de notes et d’attestations d’études sont payants. L’étudiant·e doit conserver précieusement les originaux et en faire des copies.,"Kann ich ein Duplikat meiner Notenblätter erhalten?
",Duplikate von Notenblättern und Studienbestätigungen werden nicht kostenlos ausgestellt. Bewahren Sie die Originale deshalb gut auf und machen Sie Kopien.,HEIA,Formation
138,Guide,SACAD,Quels sont les tarifs des duplicatas ?,"Attestation d’études CHF 10.– 
Certificat d’exmatriculation CHF 50.– 
Bulletin de notes CHF 20.– 
Copies conformes de diplômes CHF 50.–",Was kosten Duplikate?,"Studienbestätigung: CHF 10.–
Bestätigung Exmatrikulation: CHF 50.–
Notenblätter: CHF 20.–
Diplom: CHF 50.–",HEIA,Formation
139,Guide,SACAD,"Où puis-je trouver les documents officiels (modules de cours, conditions de promotion, absences ou autres informations relatives au déroulement académique) ?","Les documents officiels concernant les modules de cours, les conditions de promotion, les absences ou autres informations relatives au déroulement académique des études sont disponibles ici : go.heia-fr.ch/reglements-etudes","Wo finde ich die offiziellen Dokumente wie Reglemente, Richtlinien (Informationen über die Organisation der Module, Bestehensnormen, Wiederholungen, Absenzen, Studienablauf usw.)?","Die offiziellen Dokumente wie Reglemente, Richtlinien usw. (Informationen zur Organisation der Module, Bestehensnormen, Wiederholungen, Absenzen, Studienablauf usw.) finden Sie hier: https://www.heia-fr.ch/de/hochschule/portrat/rechtsgrundlage/",HEIA,Formation
140,Guide,SACAD,Comment puis-je obtenir une copie certifiée conforme de mon diplôme ?,Veuillez en faire la demande au service académique service.academique@hefr.ch. La copie certifiée conforme est facturée CHF 50.--. Le service académique vous transmettra le formulaire ad hoc à remplir. ,Wie kann ich ein Duplikat meines Diploms erhalten?,Duplikate von Diplomen sind über ein beim Studiensekretariat (studiensekretariat@hefr.ch) verfügbares Formular zu beantragen. Das Duplikat kostet CHF 50.--. ,HEIA,Formation
141,Guide,SACAD,Comment dois-je annoncer une absence à une évaluation ?,"L'annonce doit se faire par e-mail au ou à la professeur·e et à la direction de la filière. 

Selon la directive sur l'organisation des modules à la HEIA-FR :
Art. 14, al. 1: Pour chaque évaluation à laquelle l’étudiant·e est absent·e ou ne rend pas de travail dans le délai imparti, elle ou il obtient la note de 1.0.
al. 2
L’étudiant·e qui invoque un cas de force majeure pour justifier son absence lors d’une épreuve d’évaluation, l’abandon d’un module ou le report de délai de tout acte de formation présente une requête écrite accompagnée de pièces justificatives à la direction de la HEIA-FR, dans les trois jours ouvrables dès l’apparition du cas de force majeure. La direction de la Haute école accepte ou refuse par écrit la requête. En cas d’admission de la requête, les résultats des épreuves éventuellement déjà présentées restent acquis.
al. 3
En cas d’admission de la requête, l’étudiant·e n’a pas de droit automatique à des rattrapages. Le ou la responsable de filière décide de la possibilité ou non d’un rattrapage. Celui-ci peut avoir lieu en dehors du cadre horaire.

https://www.heia-fr.ch/fr/haute-ecole/portrait/cadre-legal","Wen muss ich bei Abwesenheit an Prüfungen informieren?

","Bei Abwesenheit an Prüfungen müssen die Studierenden die betroffenen Dozierenden sowie die Studiengangleitung per E-Mail informieren.

Gemäss Richtlinie über die Organisation der Module an der HTA-FR gilt:
Art. 14 Abs. 1: Bei Nichtanwesenheit an Prüfungen oder Nichteinhaltung einer Abgabefrist wird die Note 1 vergeben.
Abs. 2
Studierende, die sich auf höhere Gewalt berufen, um ihre Abwesenheit bei Prüfungen, den Abbruch eines Moduls oder eine Fristverlängerung für jegliche Studienaktivität zu rechtfertigen, reichen innerhalb von drei Werktagen nach Eintreten der Situation höherer Gewalt einen schriftlichen Antrag unter Beifügung entsprechender Nachweise bei der Direktion der HTA-FR ein. Die Hochschuldirektion bewilligt bzw.lehnt den Antrag jeweils schriftlich ab. Bei Genehmigung des Antrags bleiben die Ergebnisse eventuell bereits abgelegter Prüfungen anerkannt.
Abs. 3
Die Genehmigung eines Antrags bedeutet nicht, dass Studierende automatisch Anspruch auf eine Nachholprüfung haben. Die Studiengangleitung entscheidet, ob eine Nachholprüfung möglich ist oder nicht. Diese kann auch ausserhalb der Zeiten des regulären Stundenplans stattfinden.

https://www.heia-fr.ch/de/hochschule/portrat/rechtsgrundlage/ ",HEIA,Formation
142,Guide,SACAD,Comment faire pour annoncer un changement d'adresse ou de coordonnées ?,Le changement d'adresse ou de coordonnées doit se faire via votre compte SWITCH Edu-ID sur le portail de l'étudiant·e sur IS-Academia https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm,Wo kann ich meine Adressänderung angeben?,Adressänderungen müssen auf dem Studierendenportal von IS-Academia über das SWITCH Edu-ID-Konto eingetragen werden. https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm,HEIA,Formation
143,Guide,SACAD,Quels sont les horaires des cours et où puis-je les consulter ?,"08h15–09h50 : 1er cours 
10h15–11h50 : 2e cours 
13h00–14h35 : 3e cours 
15h00–16h35 : 4e cours 
17h00–18h35 : 5e cours 

Les horaires des cours sont consultables sur l’Intranet (https://ged.hefr.ch), sous « Horaires HEIA » ainsi que sur Pocket HES. La connexion VPN est requise. En dehors des heures de cours, les équipements de l’école sont à la disposition des étudiant·e·s.",Was sind die Unterrichtszeiten und wo kann ich meinen Stundenplan finden? ,"08:15–09:50: 1. Unterrichtseinheit
10:15–11:50: 2. Unterrichtseinheit
13:00–14:35: 3. Unterrichtseinheit
15:00–16:35: 4. Unterrichtseinheit
17:00–18:35: 5. Unterrichtseinheit

Die Stundenpläne sind im Intranet (https://ged.hefr.ch) unter «Horaires HEIA» sowie auf PocketHES verfügbar. Eine VPN-Verbindung ist erforderlich. Die Infrastruktur der Hochschule steht den Studierenden auch ausserhalb des regulären Stundenplans zur Verfügung.

",HEIA,Formation
144,Guide,SACAD,Comment se présente ma carte d'étudiant·e et combien de temps est-elle valable ?,"La carte d’étudiant·e au format carte de crédit est valable pour un semestre et se renouvelle au début de chaque semestre via la borne mise à disposition à cet effet qui se trouve à la HEIA-FR sur le site de Pérolles 80 (au bâtiment A, 1ère étage en face de la salle A10.09).",Wie sieht die Studierendenkarte aus und wie lange ist sie gültig?,"Die Studierendenkarte im Kreditkartenformat ist für ein Semester gültig und kann jeweils zu Semesterbeginn am Info-Terminal an der HTA-FR am Standort Pérolles 80 (Gebäude A,  1. Stock, gegenüber Raum A10.09) aktualisiert werden.  ",HEIA,Formation
145,Guide,SACAD,Que dois-je faire en cas de problème de fonctionnement du badge ?,"En cas de problème de fonctionnement du badge, l’étudiant·e contacte le helpdesk du service informatique. Voir sur go.hefr.ch/sinfofr/badges",Was kann ich bei Problemen mit der Studierendenkarte tun?,Bei Problemen mit der Studierendenkarte wenden Sie sich bitte an den Helpdesk des Informatikdiensts.  > go.hefr.ch/sinfode/badges ,HEIA,Formation
146,Guide,SACAD,"Comment procéder en cas de perte, d'endommagement ou de vol de la carte d'étudiant·e ?","En cas de perte, d'endommagement ou de vol, l'étudiant·e en informe sans délai le service académique de la HEIA-FR, service.academique@hefr.ch. L'étudiant·e participe aux frais de remplacement à hauteur de CHF 20.--.","Was muss ich bei Verlust, Diebstahl oder Beschädigung der Studierendenkarte tun?","Bei Verlust, Diebstahl oder Beschädigung der Karte muss das Studiensekretariat der HTA-FR (studiensekretariat@hefr.ch) unverzüglich informiert werden. Die Kostenbeteiligung für eine Ersatzkarte beträgt CHF 20.–.",HEIA,Formation
156,Guide,ST,Comment puis-je obtenir un casier personnel ?,"Des casiers personnels sont installés dans les couloirs pour les étudiant·e·s. Ils sont disponibles en libre-service à l’aide d’un code.

Voir la vidéo​ : https://go.heia-fr.ch/is-4","Wie komme ich zu einem persönlichen Schrank?
","In den Gängen stehen den Studierenden persönliche Schränke mit einem Code-Schloss frei zur Verfügung.
Siehe Video >  https://go.hta-fr.ch/is-4",HEIA,Formation
157,Guide,ST,"Quelles sont les heures d'ouverture des bâtiments de la HEIA-FR, Pérolles 80 ?","Les bâtiments de la HEIA-FR sont ouverts de 7h00 à 17h30 durant les jours d'enseignement, selon le calendrier académique. Pendant les semestres, les étudiant·e·s immatriculé·e·s peuvent utiliser les locaux et équipements de l'école 24 heures sur 24 et 7 jours sur 7. En dehors des heures de cours, l'accès est contrôlé par un système électronique enregistrant l'heure d'entrée et l'identité de la personne grâce à sa carte d'étudiant·e. Des restrictions d'accès sont possibles selon le secteur d'activité, par exemple pour les locaux de la chimie.

Ces horaires sont susceptibles d’être modifiés si la situation l’exige, comme par exemple en cas de pandémie.

Les étudiant·e·s qui utilisent les locaux en dehors des heures normales de cours s'engagent à n'introduire aucune personne étrangère à la HEIA-FR, à respecter les prescriptions en matière de sécurité et de propreté, à n'utiliser les installations qu'à des fins d'études et à ne causer aucun dégât aux équipements, matériel et mobilier mis à disposition.

En cas d'abus, la HEIA-FR se verra dans l'obligation de restreindre les droits d'accès individuels et collectifs et pourra prendre des sanctions.

Voir la vidéo suivante : https://go.heia-fr.ch/is-5 ",Was sind die Öffnungszeiten der Gebäude der HTA-FR am Standort Pérolles 80?,"Die Gebäude der HTA-FR sind an den Unterrichtstagen gemäss akademischem Kalender von 7.00 bis 17.30 Uhr offen. Während dem Semester stehen den eingeschriebenen Studierenden die Räume und Einrichtungen der Schule rund um die Uhr, auch samstags und sonntags zur Verfügung. Ausserhalb der Unterrichtszeiten wird der Zugang elektronisch kontrolliert und die Eintrittszeit und Identität der Person über die Studierendenkarte registriert. Für bestimmte Abteilungen und Räume (Chemie) bestehen jedoch ausserhalb der Unterrichtszeiten Zutrittsbeschränkungen.

Wenn die Situation es erfordert, z. B. im Falle einer Pandemie, kann es zu Änderungen der Öffnungszeiten kommen.

Studierende, die die Räumlichkeiten ausserhalb der Unterrichtszeiten nutzen, verpflichten sich, keine externen Personen mitzubringen, die Sicherheits- und Sauberkeitsvorschriften einzuhalten, die Räumlichkeiten nur zu Studienzwecken zu nutzen und keine Schäden an den zur Verfügung gestellten Geräten, Materialien und Einrichtungen zu verursachen.

Wird gegen diese Regeln verstossen, sieht sich die HTA-FR gezwungen, die individuellen und kollektiven Zugriffsrechte einzuschränken und wenn nötig Sanktionen zu verhängen.

Siehe Video > https://go.hta-fr.ch/is-5  ",HEIA,Infrastructure
158,Guide,ST,Puis-je fumer à la HEIA-FR ?,"L’ensemble des bâtiments de la HEIA-FR est non-fumeur, y compris le restaurant. En revanche, les passerelles reliant les bâtiments B et G, ainsi que C et F sont des espaces fumeurs.

Voir la vidéo suivante : https://go.heia-fr.ch/is-4",Ist Rauchen an der HTA-FR erlaubt?,"In den Gebäuden der HTA-FR – einschliesslich Restaurant – ist das Rauchen verboten. Die Passerellen zwischen den Gebäuden B und G und den Gebäuden C und F sind Raucherzonen.

Siehe Video : https://go.hta-fr.ch/is-4",HEIA,Infrastructure
159,Guide,SACAD,Quelles sont mes obligations lorsque je change de lieu d'habitation pour suivre mes études dans une commune fribourgeoise ?,Chaque étudiant·e suisse qui doit changer de lieu d’habitation pour suivre ses études dans une commune fribourgeoise doit se présenter personnellement au Contrôle des habitant·e·s dans les huit jours suivant son arrivée dans ladite commune.,"Was muss ich tun, wenn ich für mein Studium den Wohnsitz in eine Freiburger Gemeinde verlege?","Schweizer Studierende, die für ihr Studium ihren Wohnort wechseln müssen, sind verpflichtet, sich innerhalb von acht Tagen ab dem Zuzug persönlich bei der Einwohnerkontrolle der betreffenden Gemeinde zu melden.",HEIA,Formation
160,Guide,SACAD,Comment dois-je procéder pour transférer ma résidence principale dans la commune ou le lieu de mon choix ?,"Il faut présenter au moment de l’inscription une attestation de la caisse maladie et un acte d’origine. Pour les étudiant·e·s marié·e·s, un certificat personnel d’état civil ou un livret de famille est nécessaire.","Was muss ich tun, wenn ich meinen Hauptwohnsitz in eine andere Gemeinde verlegen will?",Für die Anmeldung bei der Gemeinde müssen Sie eine Krankenkassenbestätigung und den Heimatschein mitnehmen. Verheiratete müssen ausserdem einen Personenstandsausweis oder ein Familienbüchlein vorweisen.,HEIA,Formation
161,Guide,SACAD,Comment puis-je conserver mon lieu de résidence principal chez mes parents tout en occupant un logement dans ma commune ou mon lieu d'étude ?,Il faut alors présenter un certificat de domicile personnel et annoncer son nouveau domicile comme étant un lieu de résidence secondaire,"Was muss ich tun, wenn ich meinen Hauptwohnsitz bei den Eltern behalten und am Studienort nur einen Zweitwohnsitz haben möchte?",Dann müssen Sie sich am neuen Wohnort als Wochenaufenthalter anmelden und nur eine Wohnsitzbescheinigung vorweisen.,HEIA,Formation
162,Guide,ST,Où puis-je stationner mon deux-roues ?,"Il existe de nombreuses possibilités de se parquer gratuitement en deux roues aux alentours de la HEIA-FR. Les véhicules motorisés ont la possibilité d'être parqués sous les couverts qui se trouvent entre l'école et l'Université. Pour ce qui est des vélos, des couverts sont installés dans la cour intérieure entre les bâtiments.","Wo kann ich mein Zweirad (Velo, Roller, Motorrad) abstellen?",Es gibt in der Umgebung der HTA-FR zahlreiche Abstellplätze für Zweiräder. Für motorisierte Zweiräder stehen zwischen der Hochschule und der UNI-FR gedeckte Abstellplätze zur Verfügung. Für Velos gibt es gedeckte Abstellplätze im Innenhof zwischen den Gebäuden.,HEIA,Infrastructure
163,Guide,ST,"Ai-je la possibilité d'emprunter un vélo pour me rendre en cours, visiter la ville ou faire une course ?","PubliBike met à disposition 94 vélos (dont des vélos électriques) à emprunter pour se rendre sur son lieu de travail ou d’études, visiter la ville ou faire une course. Dix stations constituent le réseau de l’agglomération de Fribourg, dont une à la gare et une sur le plateau de Pérolles. Différents types d’abonnements sont proposés. www.publibike.ch","Stehen Fahrräder zur Verfügung, die ich ausleihen kann, um zur Hochschule zu fahren, die Stadt zu besichtigen oder Einkäufe zu tätigen?","PubliBike stellt in der Stadt Freiburg zurzeit 94 Citybikes und E-Bikes zur Verfügung. Diese können ausgeliehen werden, um zur Hochschule zu fahren, die Stadt zu besichtigen oder Einkäufe zu tätigen. In der Agglomeration Freiburg gibt es 10 Standorte. Ein Velostandort ist beim Bahnhof und einer gegenüber der HTA-FR auf der Perolles-Ebene. Es werden verschiedene Abos angeboten. www.publibike.ch",HEIA,Infrastructure
164,Guide,SCOM,Comment puis-je me rendre à la HEIA-FR en transports en commun ?,"Depuis la gare de Fribourg, les lignes 1, 3, 7, 8 et 9 desservent l’arrêt Pérolles-Charmettes en 5 min. A pied, il faut compter 12 à 15 minutes. Il est vivement conseillé d’utiliser les transports en commun en raison du nombre très limité de places de stationnement publiques aux abords de la HEIA-FR.
Voir la vidéo suivante :
https://go.heia-fr.ch/is-2",Wie kann ich die HTA-FR per ÖV erreichen?,"Ab Bahnhof sind es 5 Busminuten (Linien 1, 3, 7, 8 und 9) bis zur Haltestelle Pérolles-Charmettes; zu Fuss ist die Hochschule in ca. 12 bis 15 Minuten erreichbar. Da die öffentlichen Parkmöglichkeiten in der nahen Umgebung der Schule sehr beschränkt sind, wird empfohlen, soweit möglich die öffentlichen Verkehrsmittel zu benutzen.
Video >  https://go.hta-fr.ch/is-2",HEIA,Infrastructure
165,Guide,SCOM,Comment puis-je me garer en périphérie de Fribourg ?,"Les Park & Ride permettent de se garer en périphérie de Fribourg puis d’utiliser les transports publics à des tarifs avantageux. Les parkings de St-Léonard, Givisiez, Villars-sur-Glâne, Marly-Gérine et Schönberg sont desservis par des lignes de bus menant directement à la HEIA-FR, ou en changeant à la gare. www.agglo-fr.ch",Gibt es auch Parkmöglichkeiten ausserhalb des Stadtzentrums?,"Mit Park&Ride können Sie Ihr Auto ausserhalb des Stadtzentrums parkieren und die öffentlichen Verkehrsmittel zu reduzierten Preisen benutzen. Die Park&Ride-Parkplätze befinden sich an folgenden Standorten: St-Léonard, Givisiez, Villars-sur-Glâne, Marly-Gérine und Schönberg. Von dort aus kommen Sie direkt oder mit Umsteigen am Bahnhof zur HTA-FR. www.agglo-fr.ch/de",HEIA,Infrastructure
